jogo_id,placar_time1,placar_time2,data_atualizacao
1,2,0,2026-06-16T14:05:24.997Z
2,2,1,2026-06-16T14:05:32.972Z
4,4,1,2026-06-16T14:10:19.617Z
5,1,1,2026-06-16T14:10:27.058Z
6,1,1,2026-06-16T14:10:35.657Z
7,0,1,2026-06-16T14:10:47.059Z
9,7,1,2026-06-16T14:10:56.211Z
10,2,2,2026-06-16T14:11:04.891Z
8,2,0,2026-06-16T14:11:34.587Z
11,1,0,2026-06-16T14:11:46.223Z
12,5,1,2026-06-16T14:31:21.149Z
13,0,0,2026-06-16T14:31:30.248Z
14,1,1,2026-06-16T14:31:42.295Z
16,2,2,2026-06-16T14:31:53.983Z
15,1,1,2026-06-16T14:32:02.179Z
3,1,1,2026-06-16T15:55:28.384Z
17,3,1,2026-06-16T21:04:42.379Z
18,1,4,2026-06-17T00:26:01.316Z
19,3,0,2026-06-17T03:01:11.768Z
20,3,1,2026-06-17T10:30:38.890Z
21,1,1,2026-06-19T13:25:13.241Z
22,4,2,2026-06-19T13:25:18.011Z
23,1,0,2026-06-19T13:25:45.397Z
24,1,3,2026-06-19T13:25:54.394Z
25,1,1,2026-06-19T13:26:15.180Z
26,4,1,2026-06-19T13:26:21.181Z
27,6,0,2026-06-19T13:26:26.554Z
28,1,0,2026-06-19T13:26:32.602Z
